turn, fish, shark
483, 6716, 3252
484, 6610, 3146
485, 6560, 3202
486, 6531, 3264
487, 6413, 3204
488, 6359, 3084
489, 6369, 3127
490, 6371, 3042
491, 6333, 3245
492, 6231, 3143
493, 6142, 3101
494, 6045, 3068
495, 5958, 2971
496, 5891, 2971
497, 5779, 3159
498, 5624, 3409
499, 5463, 3280
500, 5355, 3321
501, 5196, 3386
502, 5041, 3331
503, 4942, 3167
504, 4933, 3196
505, 4905, 3086
506, 4833, 3299
507, 4680, 3173
508, 4566, 3030
509, 4487, 2985
510, 4514, 2861
511, 4531, 2792
512, 4504, 2921
513, 4438, 3103
514, 4374, 2947
515, 4390, 2979
516, 4428, 2942
517, 4426, 2842
518, 4481, 2700
519, 4586, 2659
520, 4714, 2560
521, 4767, 2730
522, 4773, 2556
523, 4842, 2485
524, 4841, 2449
525, 4939, 2345
526, 5082, 2324
527, 5145, 2416
528, 5120, 2671
529, 5106, 2600
530, 5197, 2684
531, 5231, 2692
532, 5264, 2658
533, 5308, 2565
534, 5389, 2582
535, 5466, 2497
536, 5532, 2715
537, 5532, 2662
538, 5533, 2597
539, 5594, 2564
540, 5683, 2487
541, 5854, 2496
542, 5948, 2571
543, 5982, 2808
544, 5998, 2740
545, 6065, 2814
546, 6126, 2795
547, 6214, 2781
548, 6399, 2660
549, 6534, 2747
550, 6662, 2677
551, 6798, 2886
552, 6838, 2852
553, 6942, 2810
554, 6983, 2815
555, 7011, 2732
556, 6980, 2737
557, 6933, 2802
558, 6825, 3069
559, 6729, 2932
560, 6631, 3000
561, 6553, 2984
562, 6465, 2936
563, 6457, 2812
564, 6492, 2821
565, 6475, 2709
566, 6449, 2932
567, 6397, 2867
568, 6324, 2777
569, 6310, 2773
570, 6309, 2670
571, 6328, 2629
572, 6326, 2679
573, 6281, 2880
574, 6175, 2770
575, 6120, 2877
576, 6053, 2843
577, 6001, 2782
578, 6029, 2689
579, 6119, 2692
580, 6228, 2601
581, 6324, 2817
582, 6317, 2777
583, 6346, 2747
584, 6363, 2715
585, 6417, 2590
586, 6486, 2538
587, 6540, 2619
588, 6481, 2791
589, 6501, 2689
590, 6572, 2826
591, 6559, 2823
592, 6575, 2758
593, 6656, 2638
594, 6748, 2649
595, 6817, 2561
596, 6828, 2797
597, 6778, 2772
598, 6727, 2777
599, 6694, 2787
600, 6726, 2711
601, 6729, 2720
602, 6771, 2851
603, 6703, 3064
604, 6669, 2996
605, 6596, 3139
606, 6522, 3178
607, 6434, 3131
